Order,Word,Translation,corrAnsEspV,practiceListB,practiceListB0,practiceListB1,practiceListB2,practiceListB3,practiceListB4,practiceListB5,practiceListB6,practiceListB7,conditionB,stimuliListB0,stimuliListB1,stimuliListB2,stimuliListB3,stimuliListB4,stimuliListB5,stimuliListB6,stimuliListB7,stimuliListB8,stimuliListB9,stimuliListB10,stimuliListB11,stimuliListB12,stimuliListB13,stimuliListB14,stimuliListB15,stimuliListB16,stimuliListB17,stimuliListB18,stimuliListB19,stimuliListB20,stimuliListB21,stimuliListB22,stimuliListB23,stimuliListB24,stimuliListB25,stimuliListB26,stimuliListB27,stimuliListB28,stimuliListB29,stimuliListB30,stimuliListB31,stimuliListB32,stimuliListB33,stimuliListB34,stimuliListB35,stimuliListB36,stimuliListB37,stimuliListB38,stimuliListB39,stimuliListB40,stimuliListB41,stimuliListB42,stimuliListB43,stimuliListB44,stimuliListB45,stimuliListB46,stimuliListB47,syllabification,corrSyl,corrAns,keyCVC,keyCV,corrAnsEngV,questionNum,color,sectionEng,questionTextEng,languageEng,sectionEsp,questionTextEsp,languageEsp,lexEspLoop.thisRepN,lexEspLoop.thisTrialN,lexEspLoop.thisN,lexEspLoop.thisIndex,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,lexEngLoop.thisRepN,lexEngLoop.thisTrialN,lexEngLoop.thisN,lexEngLoop.thisIndex,trials_blp_hist.thisRepN,trials_blp_hist.thisTrialN,trials_blp_hist.thisN,trials_blp_hist.thisIndex,trials_blp_use.thisRepN,trials_blp_use.thisTrialN,trials_blp_use.thisN,trials_blp_use.thisIndex,trials_blp_prof.thisRepN,trials_blp_prof.thisTrialN,trials_blp_prof.thisN,trials_blp_prof.thisIndex,trials_blp_att.thisRepN,trials_blp_att.thisTrialN,trials_blp_att.thisN,trials_blp_att.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,seg_key_resp.keys,seg_key_resp.rt,expSyl_key_resp.keys,expSyl_key_resp.corr,expSyl_key_resp.rt,lexEng_key_resp.keys,lexEng_key_resp.corr,lexEng_key_resp.rt,rating_lang_hist.response,rating_lang_hist.rt,rating_use_eng.response,rating_lang_prof.response,rating_lang_prof.rt,rating_lang_att.response,rating_lang_att.rt,01_Participante (Participant):,02_Sesión (Session):,03_Nombre (First name):,04_Apellido (Last name):,05_Edad (Age):,06_Sexo (Gender):,07_País de nacimiento (Birth country):,08_Lugar de residencia (Place of residence):,09_Nivel más alto de formación académica (Highest level of formal education):,10_Idioma preferido (Preferred language):,date,expName,psychopyVersion,frameRate,
8,cadeña,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.4516368299991882,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
9,hacha,axe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.31617934700261685,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
10,antar,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.32013258499864605,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
11,cenefa,edging,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.34912439099935,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
12,asesinato,murder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.35125828699892736,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
13,helar,freeze,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.30369301000246196,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
14,yunque,anvil,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.33658532700064825,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
15,regar,water,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.3528505300018878,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
16,abracer,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3491525069985073,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
17,floroso,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.23564781900131493,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
18,arsa,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.1846766580019903,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
19,brecedad,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.25287102299989783,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
20,ávido,avid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2846897630006424,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
21,capillo,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.3198340380004083,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
22,lacayo,lackey,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.25305602699882,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
23,lampera,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.1693220939996536,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
24,látigo,whip,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.08653015500021866,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
25,bisagra,hinge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2360577609979373,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
26,secuestro,kidnapping,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.2528805570000259,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
27,acutación,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.13646750699990662,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
28,merodear,prowl,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.1695386640021752,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
29,decar,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3195815040016896,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
30,alardio,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.1858205030002864,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
31,pandilla,gang,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.2011914139984583,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
32,fatacidad,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.16826829799902043,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
33,pauca,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.16976487600186374,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
34,aviso,notice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.38456302899794537,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
35,rompido,NW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.2866420329992252,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
36,loro,parrot,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.26957609999954,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
37,granuja,rascal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2857669850018283,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
38,estornudar,sneeze,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.3688127409986919,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
39,torpe,clumsy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0.33691572200041264,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
40,alfombra,carpet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.18553813800099306,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
41,rebuscar,rummage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.3674595010015764,,,,,,,,,,,,,,,,part001,B,John,Smith,39,Hombre,México,Tucson,"Universidad (diplomatura, licenciatura)",español,2019_Apr_15_1426,Segmentation,3.0.5,60.140482152515936,
